trial_dir,batch_size,cosine_annealing_t_max,lr,momentum,best_pre25_epoch,best_pre25_val_acc,final_val_acc,final_val_loss
"trainable_bd102c04_83_batch_size=128,cosine_annealing_t_max=21,lr=0.0388,momentum=0.9804_2026-03-07_21-25-39",128,21,0.0388,0.9804,19,0.939675632911,0.938390031646,0.229919368189
"trainable_7329e46d_147_batch_size=128,cosine_annealing_t_max=21,lr=0.0942,momentum=0.9690_2026-03-07_21-46-58",128,21,0.0942,0.9690,24,0.939675632911,0.938192246835,0.249805908155
"trainable_50c0b139_170_batch_size=128,cosine_annealing_t_max=21,lr=0.0096,momentum=0.9721_2026-03-07_21-56-43",128,21,0.0096,0.9721,21,0.938686708861,0.937500000000,0.222612666461
"trainable_84150339_8_batch_size=128,cosine_annealing_t_max=18,lr=0.0599,momentum=0.9630_2026-03-07_21-03-03",128,18,0.0599,0.9630,19,0.938488924051,0.931566455696,0.238649253722
"trainable_32424b17_163_batch_size=128,cosine_annealing_t_max=21,lr=0.0090,momentum=0.9717_2026-03-07_21-52-48",128,21,0.0090,0.9717,20,0.938093354430,0.938488924051,0.216054597280
"trainable_4a74c1cf_123_batch_size=128,cosine_annealing_t_max=21,lr=0.0240,momentum=0.9747_2026-03-07_21-37-00",128,21,0.0240,0.9747,23,0.937895569620,0.935818829114,0.237441022279
"trainable_d36b9537_28_batch_size=192,cosine_annealing_t_max=18,lr=0.0551,momentum=0.9690_2026-03-07_21-08-47",192,18,0.0551,0.9690,17,0.937794811321,0.932389937107,0.236945584276
"trainable_25095df4_54_batch_size=128,cosine_annealing_t_max=18,lr=0.1118,momentum=0.8731_2026-03-07_21-17-26",128,18,0.1118,0.8731,22,0.937697784810,0.928797468354,0.276996879850
"trainable_1a3a895a_178_batch_size=128,cosine_annealing_t_max=21,lr=0.0130,momentum=0.9616_2026-03-07_21-58-32",128,21,0.0130,0.9616,21,0.937598892405,0.937697784810,0.219330766014
"trainable_788b4aa8_137_batch_size=128,cosine_annealing_t_max=21,lr=0.0354,momentum=0.9868_2026-03-07_21-42-48",128,21,0.0354,0.9868,23,0.937598892405,0.935126582278,0.235219546323
"trainable_2f2d745d_161_batch_size=128,cosine_annealing_t_max=21,lr=0.0122,momentum=0.9678_2026-03-07_21-51-42",128,21,0.0122,0.9678,21,0.937500000000,0.936313291139,0.220651172750
"trainable_8714f23f_198_batch_size=128,cosine_annealing_t_max=21,lr=0.0091,momentum=0.9807_2026-03-07_22-04-04",128,21,0.0091,0.9807,21,0.937500000000,0.936016613924,0.226822936035
"trainable_126d1c4c_103_batch_size=128,cosine_annealing_t_max=21,lr=0.0315,momentum=0.9726_2026-03-07_21-31-22",128,21,0.0315,0.9726,19,0.937500000000,0.935818829114,0.253353022039
"trainable_bfd4d88e_81_batch_size=256,cosine_annealing_t_max=20,lr=0.0842,momentum=0.9627_2026-03-07_21-25-10",256,20,0.0842,0.9627,20,0.937402343750,0.933789062500,0.236122428859
"trainable_ba861696_164_batch_size=128,cosine_annealing_t_max=23,lr=0.0138,momentum=0.9622_2026-03-07_21-53-36",128,23,0.0138,0.9622,21,0.937401107595,0.936115506329,0.232298355927
"trainable_32d7298c_38_batch_size=128,cosine_annealing_t_max=18,lr=0.0725,momentum=0.9757_2026-03-07_21-12-12",128,18,0.0725,0.9757,21,0.937401107595,0.930775316456,0.239522100438
"trainable_cd8d11f7_55_batch_size=128,cosine_annealing_t_max=18,lr=0.1288,momentum=0.8870_2026-03-07_21-17-29",128,18,0.1288,0.8870,17,0.937401107595,0.925632911392,0.275666201794
"trainable_a906f5c1_112_batch_size=192,cosine_annealing_t_max=20,lr=0.1197,momentum=0.9644_2026-03-07_21-33-50",192,20,0.1197,0.9644,21,0.937303459119,0.935338050314,0.252980611515
"trainable_60172267_146_batch_size=128,cosine_annealing_t_max=21,lr=0.0158,momentum=0.9742_2026-03-07_21-46-26",128,21,0.0158,0.9742,22,0.937302215190,0.935621044304,0.231074940319
"trainable_f7ce51cc_119_batch_size=128,cosine_annealing_t_max=21,lr=0.0576,momentum=0.9722_2026-03-07_21-36-02",128,21,0.0576,0.9722,23,0.937302215190,0.935423259494,0.243735167375
"trainable_de50ecb5_130_batch_size=128,cosine_annealing_t_max=21,lr=0.0745,momentum=0.9721_2026-03-07_21-40-18",128,21,0.0745,0.9721,21,0.937104430380,0.935027689873,0.256932916238
"trainable_7d6e3116_78_batch_size=256,cosine_annealing_t_max=20,lr=0.0900,momentum=0.9604_2026-03-07_21-23-59",256,20,0.0900,0.9604,19,0.937011718750,0.933789062500,0.250191103667
"trainable_9c6ac455_6_batch_size=128,cosine_annealing_t_max=23,lr=0.0942,momentum=0.9742_2026-03-07_21-02-00",128,23,0.0942,0.9742,24,0.936906645570,0.936511075949,0.265092597732
"trainable_fd78c54e_154_batch_size=128,cosine_annealing_t_max=21,lr=0.1064,momentum=0.8763_2026-03-07_21-50-26",128,21,0.1064,0.8763,21,0.936313291139,0.934731012658,0.265462077965
"trainable_8a4a35ea_156_batch_size=128,cosine_annealing_t_max=21,lr=0.0166,momentum=0.9825_2026-03-07_21-50-40",128,21,0.0166,0.9825,21,0.936313291139,0.934137658228,0.232044791685
"trainable_69cd5a4a_121_batch_size=128,cosine_annealing_t_max=21,lr=0.0352,momentum=0.9758_2026-03-07_21-36-31",128,21,0.0352,0.9758,18,0.936016613924,0.932555379747,0.244537850111
"trainable_f0f60795_162_batch_size=128,cosine_annealing_t_max=21,lr=0.0902,momentum=0.9668_2026-03-07_21-52-13",128,21,0.0902,0.9668,18,0.935818829114,0.933643196203,0.265448088463
"trainable_7e52fc2e_142_batch_size=128,cosine_annealing_t_max=21,lr=0.1259,momentum=0.9794_2026-03-07_21-44-40",128,21,0.1259,0.9794,24,0.935818829114,0.933247626582,0.242295885435
"trainable_c5fc747d_41_batch_size=256,cosine_annealing_t_max=20,lr=0.0845,momentum=0.9617_2026-03-07_21-12-59",256,20,0.0845,0.9617,22,0.935644531250,0.929589843750,0.250222307257
"trainable_25621c3e_1_batch_size=192,cosine_annealing_t_max=20,lr=0.2700,momentum=0.9342_2026-03-07_21-01-21",192,20,0.2700,0.9342,18,0.935632861635,0.933274371069,0.269212878116
"trainable_31ca7f58_129_batch_size=128,cosine_annealing_t_max=24,lr=0.1288,momentum=0.9721_2026-03-07_21-39-50",128,24,0.1288,0.9721,23,0.935621044304,0.935522151899,0.266914278457
"trainable_623e1deb_76_batch_size=256,cosine_annealing_t_max=20,lr=0.0911,momentum=0.9610_2026-03-07_21-23-53",256,20,0.0911,0.9610,21,0.935546875000,0.935156250000,0.241844294732
"trainable_4c449f3f_200_batch_size=128,cosine_annealing_t_max=21,lr=0.0096,momentum=0.9771_2026-03-07_22-04-15",128,21,0.0096,0.9771,20,0.935423259494,0.934533227848,0.222879986738
"trainable_6a6d9415_173_batch_size=128,cosine_annealing_t_max=23,lr=0.0095,momentum=0.9721_2026-03-07_21-57-10",128,23,0.0095,0.9721,21,0.935423259494,0.934434335443,0.238011088034
"trainable_f68a8ccf_98_batch_size=256,cosine_annealing_t_max=20,lr=0.0913,momentum=0.9549_2026-03-07_21-30-40",256,20,0.0913,0.9549,24,0.934765625000,0.926464843750,0.268240463361
"trainable_31e8c999_199_batch_size=128,cosine_annealing_t_max=21,lr=0.0159,momentum=0.9787_2026-03-07_22-04-08",128,21,0.0159,0.9787,24,0.934434335443,0.932357594937,0.242227903555
"trainable_73a8da21_188_batch_size=128,cosine_annealing_t_max=21,lr=0.0077,momentum=0.9800_2026-03-07_22-01-31",128,21,0.0077,0.9800,17,0.934236550633,0.932456487342,0.220099701157
"trainable_5de59e7f_42_batch_size=256,cosine_annealing_t_max=20,lr=0.0817,momentum=0.9588_2026-03-07_21-13-07",256,20,0.0817,0.9588,19,0.934179687500,0.930078125000,0.239366358146
"trainable_467d4a9e_56_batch_size=128,cosine_annealing_t_max=18,lr=0.1199,momentum=0.9865_2026-03-07_21-17-35",128,18,0.1199,0.9865,19,0.932852056962,0.925039556962,0.229894131045
"trainable_7f60f919_43_batch_size=448,cosine_annealing_t_max=20,lr=0.0829,momentum=0.9755_2026-03-07_21-13-20",448,20,0.0829,0.9755,22,0.932324016563,0.930091873706,0.224723146014
